"KEY","en","ro","po","ru","en-us"
"i_change_my_mind","I've changed my mind","M-am răzgândit","Zmieniłem zdanie","Я передумал ","I've changed my mind"
"invite_in_parents","Invite in Parents","Invită în Parents","Zaproś w Parents","Пригласить в Parents","Invite to Parents"
"add_card","Add Card","Adaugă card","Dodaj kartę","Добавь карту","Add Card"
"expired_date","Expiration date","Data expirării","Data ważności:","Дата окончания срока","Expiration date"
"security_code","Security code","Cod securitate","Kod zabezpieczający:","Код безопасности","Security code"
"cvv","CVV/CVC","CVV/CVC","CVV/CVC","CVV/CVC","CVV/CVC"
"ex_card_number","ex: 1234 1234 1234 1234","ex: 1234 1234 1234 1235","np.: 1234 1234 1234 1236","ex: 1234 1234 1234 1237","ex: 1234 1234 1234 1234"
"ex_card_holder","ex: First and Last Name","ex: Prenume Nume","np.: Imię i nazwisko","ex: Имя Фамилия","ex: First and Last Name"
"card_number","Card number","NumăruI cardului","Numer Karty","Номер карты","Card number"
"card_holder","Card holder","Numele de pe card","Posiadacz karty","Владелец карты","Card holder"
"exp_mont","MM/YY","MM/YY","MM/RR","ММ / ГГ","MM/YY"
"accept_invite","Accept this invite?","Accepți această invitație?","Przyjmujesz to zaproszenie?","Принимаешь это приглашение?","Accept this invite?"
"complete_your_profile","Complete your profile","Completează-ți profilul","Uzupełnij profil","Заполни свой профиль","Complete your profile"
"GROUP_ADMINISTRATOR","Customer Care Fairy","Specialist Suport Parents","Customer Care Fairy","Фея обслуживания клиентов","Customer Care Fairy"
"GROUP_CUSTOMER_CARE","Customer Care Fairy","Customer Care Fairy","Customer Care Fairy","Фея обслуживания клиентов","Customer Care Fairy"
"GROUP_MODERATOR","Parenting Expert","Expert în Parenting","Ekspert w dziedzinie parentingu","Эксперт Parenting","Parenting Expert"
"GROUP_CONTENT_CREATOR","Parenting Expert","Expert în Parenting","Ekspert w dziedzinie parentingu","Эксперт Parenting","Parenting Expert"
"GROUP_CONSILIER","All About Parenting Adviser","Consilier All About Parenting","Doradca All About Parenting","Консультант All About Parenting","All About Parenting Adviser"
"parenting_expert","Parenting Expert","Expert în Parenting","Ekspert w dziedzinie parentingu","Эксперт Parenting","Parenting Expert"
"select_life_partner_from_contacts","Select your Life Partner from your Contacts list","Selectează-ți partenerul de viață din lista de contacte","Wybierz partnera życiowego z listy kontaktów","Выбери твоего спутника по жизни из листа","Select your Partner from your Contacts list"
"do_you_want_invite_life_partner","Do you want to invite your Life Partner in Parents?","Vrei să îți inviți Partenerul de viață în Parents?","Chcesz zaprosić partnera życiowego do Parents?","Хочешь ли пригласить своего спутника по жизни в Parents?","Do you want to invite your Partner to Parents?"
"can_share_parenting_programs_with_lifepartner","Your partner, and only your partner, gets to share your Parenting programmes and the photos in your Moments.
 
Invite them so that you can both enjoy all that the app has to offer.","Partenerul de viață este singura persoană cu care împarți programele de Parenting și fotografiile din Momente.
 
Invită-l în Parents ca să vă bucurați împreună de tot ce vă oferă aplicația.","Możesz dzielić się programami oraz zdjęciami i filmami z sekcji ""Chwile"" ze swoim partnerem życiowym.

Zaproś go do Parents, abyście mogli razem cieszyć się tym, co daje aplikacja.","Ты можешь поделиться всеми программами, фотографиями и моментами со своим спутником по жизни. Пригласи его для того, чтобы вместе наслаждаться всем тем, что предлагает приложение Parents.","Your partner, and only your partner, gets to share your Parenting programs and the photos in your Moments.
 
Invite them so that you can both enjoy all that the app has to offer."
"format_phone_number","Format phone number","Formatează numărul de telefon","Sformatuj numer telefonu","Исправьте номер телефона","Format phone number"
"select_country_code","Select the country code","Alege prefixul","Wybierz koda kraju","Выберите код страны","Select the country code"
"write_phone_number","Enter the phone number","Introdu numărul de telefon","Wpisz numer telefonu","Введите номер телефона","Enter the phone number"
"number_cant_formated","This number can't be formated","Acest număr nu poate fi formatat","Numer nie może być sformatowany","Этот номер не может быть отформатирован","This number can't be formated"
"choose_correct_coutnry_code","Please make sure the coountry code and phone number are correct","Te rugăm să te asiguri că prefixul și numărul de telefon sunt corecte","Wybierz prawidłowy kod kraju i sprawdź, czy numer jest poprawnie zapisany! ","Пожалуйста убедитесь, что код страны и номер телефона указаны правильно ","Please make sure the coountry code and phone number are correct"
"you_and_other_user_are_busy","Either you or %s already added a life partner or have a pending life partner invitation","Fie tu sau %s aveți deja un partener de viață sau o invitație ca partener de viață în așteptare","Ty lub %s już dodałaś(-łeś) partnera życiowego lub masz oczekujące zaproszenie do zostania partnerem życiowym","Либо у Вас, либо у %s  уже есть спутник по жизни или ожидающее приглашение","Either you or %s already added a life partner or have a pending life partner invitation"
"invitation_is_pending","Invitation is pending","Invitație în așteptare","Zaproszenie oczekuje","Приглашение в ожидании","Invitation is pending"
"this_user_invited_as_life_partner","%s invited you as life partner","%s vrea să te adauge ca partener de viață","%s zaprosił(a) Cię jako partnera życiowego","%s пригласил Вас как спутника по жизни ","%s invited you as life partner"
"remove_life_partner","Remove life partner","Șterge partener de viață","Usuń partnera życiowego","Удалить спутника жизни","Remove life partner"
"im_inviting_to_parents","Hi %s - I have an invite to Parents and want you to join. I added you using %s, so make sure to use that number when you register. Here is the link! ","Salut, %s - Am o invitație în Parents și te invit să îți faci și tu cont. Te-am adăugat folosind %s, asigură-te că folosești acest număr când te înregistrezi. Aici e linkul!","Cześć %s - mam zaproszenie do Parents i chcę, żebyś dołączył(a). Dodałam(-łem) Cię za pomocą %s, więc pamiętaj, aby użyć tego numeru podczas rejestracji. Tutaj jest link! ","Привет, %s! У меня есть приглашение в Parents, и мне бы хотелось, чтоб и ты присоеденился! Я добавил тебя, используя %s, поэтому обязательно используй этот номер при регистрации. Вот ссылка!","Hi %s - I have an invite to Parents and want you to join. I added you using %s, so make sure to use that number when you register. Here is the link! "
"im_inviting_to_parents_in_family","Hi %s - I have an invite to Parents and want you to join as a member of my family. I added you using %s, so make sure to use that number when you register. Here is the link!","Salut, %s - Am o invitație în Parents și vreau să te adaug în familia mea. Te-am adăugat folosind %s, asigură-te că folosești acest număr când te înregistrezi. Aici e linkul!","Cześć %s - mam zaproszenie do Parents i chcę, żebyś dołączył(a) jako członek rodziny. Dodałam(-łem) Cię za pomocą %s, więc pamiętaj, aby użyć tego numeru podczas rejestracji. Tutaj jest link! ","Привет, %s! У меня есть приглашение в Parents, и я хочу, чтобы ты присоединился тоже, как член моей семьи. Я добавил тебя, используя %s, поэтому обязательно используй этот номер при регистрации. Вот ссылка!","Hi %s - I have an invite to Parents and want you to join as a member of my family. I added you using %s, so make sure to use that number when you register. Here is the link!"
"reminder_invite","Hey - Did you get my Parents invite? I added %s,  so if you use that number you can create an account in Parents. Here is the link:","Hei - ai primit invitația mea în Parents? Te-am adăugat cu %s, asigură-te că folosești acest număr când te înregistrezi. Aici e linkul:","Hej - czy dostałaś(-łeś) zaproszenie do Parents? Dodałem %s, więc jeśli użyjesz tego numeru, możesz utworzyć konto w Parents. Tutaj jest link: ","Привет, ты получил мое приглашение в Parents? Я добавил тебя, используя %s, убедись, что используешь этот номер при регистрации.  Вот ссылка:","Hey - Did you get my Parents invite? I added %s,  so if you use that number you can create an account in Parents. Here is the link:"
"explain_auth_in_parents","To make the community a safer place, access to the Parents app is restricted to parents who have an invitation or purchased a Parenting program.\n\nWe are working to make Parents available to every parent, while keeping its members safe.","Pentru a face comunitatea mai sigură, accesul în Parents este permis numai pe bază de invitație sau dacă ai achiziționat un program de Parenting.\n\nNe străduim să facem aplicația Parents disponibilă tuturor părinților, păstrând siguranța membrilor săi.","Aby nasza społeczność była bardziej bezpieczna, dostęp do Parents jest możliwy tylko na zaproszenie lub po wykupieniu programu. \n\nDążymy do tego, aby aplikacja Parents była dostępna dla wszystkich rodziców i zapewniała im bezpieczeństwo.","Чтобы сделать сообщество более безопасным, доступ к приложению Parents предоставляется только родителям, у которых есть приглашение или которые приобрели программу Parenting. \n\n Мы работаем над тем, чтобы Parents были доступны каждому родителю, сохраняя при этом безопасность его членов.","To make the community a safer place, access to the Parents app is restricted to parents who have an invitation or purchased a Parenting program.\n\nWe are working to make Parents available to every parent, while keeping its members safe."
"Years","Years","Ani","Lata","Года","Years"
"Months","Months","Luni","Miesiące","Месяца","Months"
"Days","Days","Zile","Dni","Дни","Days"
"Albums","Albums","Albume","Albumy","Альбомы","Albums"
"new_album","New Album","Album nou","Nowy album","Новый Альбом","New Album"
"enter_name_album","Enter a name for this album","Introdu numele albumului","Dodaj nazwę albumu","Назови этот альбом","Enter a name for this album"
"tag_family_members","Tag family members","Etichetează membrii familiei","Oznacz członków rodziny","Отметь члена семьи","Tag family members"
"write_caption","Write a caption","Scrie o descriere","Dodaj opis","Добавь описание","Write a caption"
"new_moment","New moment","Moment nou","Nowa chwila","Новый момент","New moment"
"add_to_album","Add to album","Adaugă la album","Dodaj do albumu","Добавь в альбом","Add to album"
"add_count_media__zero","0 media files","Niciun fișier","0 plików multimedialnych","0 медиафайлов","0 media files"
"add_count_media__one","%s media file","%s fișier","%s plik multimedialny","%s медиафайл","%s media file"
"add_count_media__two","%s media files","%s fișiere","%s pliki multimedialne","%s медиафайла","%s media files"
"add_count_media__few","%s media files","%s fișiere","%s pliki multimedialne","%s медиафайлов","%s media files"
"add_count_media__many","%s media files","%s fișiere","%s plików multimedialnych","%s медиафайлов","%s media files"
"add_count_media__other","%s media files","%s de fișiere","%s pliki multimedialne","%s медиафайлы","%s media files"
"add_to_album_name","Add to album","Adaugă la album","Dodaj do album","Добавить в альбом","Add to album"
"add_photos_videos","Add photos and videos","Adaugă poze și filmări","Dodaj zdjęcia i filmy","Добавить фото и видео","Add photos and videos"
"edit_album","Edit album","Editează album","Edytuj album","Редактировать альбом","Edit album"
"rename_album","Rename album","Redenumește album","Zmień nazwę albumu","Переименовать альбом","Rename album"
"change_album_cover","Change album cover","Schimbă poza de copertă albumului","Zmień okładkę albumu","Сменить обложку альбома","Change album cover"
"send_album_in_chats","Send in Chats","Trimite în Conversații","Wyślij przez czat","Послать в чат","Send in Chats"
"edit_album_description","Edit album description","Editează descrierea albumului","Edytuj opis albumu","Редактировать описание альбома","Edit album description"
"delete_album","Delete album","Șterge album","Usuń Album","Удалить альбом","Delete album"
"add_album_description","Add album description...","Adaugă descrierea albumului...","Dodaj opis albumu...","Добавить описание альбома...","Add album description..."
"you_want_delete_album","Are you sure you want to detele this album?","Sigur vrei să elimini acest album?","Czy na pewno chcesz usunąć ten album?","Ты уверен(а), что хочешь удалить этот альбом?","Are you sure you want to detele this album?"
"use_as_album_cover","Use as album cover","Setează ca poză de copertă","Ustaw jako okładkę albumu","Использовать как обложку альбома","Use as album cover"
"add_edit_caption","Add/edit a caption","Adaugă/editează descriere","Dodaj/edytuj opis","Добавить/редактировать название","Add/edit a caption"
"remove_from_album","Remove from Album","Șterge din Album","Usuń z albumu","Удалить из альбома","Remove from Album"
"edit_moment","Edit moment","Editează moment","Edytuj chwilę","Редактировать момент","Edit moment"
"empty_moments","You have no photos or videos added to Moments.","Nu ai poze sau filmări adăugate în Momente","Nie masz żadnych zdjęć ani filmów dodanych do sekcji ""Chwile"".","У вас нет фото или видео добавленных в Моменты","You have no photos or videos added to Moments."
"sure_delete_media","Are you sure you want to delete selected media files?","Sigur vrei să ștergi fișierele media selectate?","Czy na pewno chcesz usunąć ten plik multimedialny?","Вы уверены, что хотите удалить выбранные медиафайлы?","Are you sure you want to delete selected media files?"
"no_media_selected","No media selected","Nu ai selectat fișiere media","Nie wybrano plików multimedialnych","Нет выделенных медиафайлов","No media selected"
"family_members","Family members:","Membrii familiei:","Członkowie rodziny:","Члены семьи:","Family members:"
"auto_import_photos_videos","Auto-Import photos & videos settings","Setări Auto-Import poze și filmări","Ustawienia automatycznego importu zdjęć i filmów","Настройки автозагрузки видео и фото","Auto-Import photos & videos settings"
"selective_import","Selective Import","Import Selectiv","Import selektywny","Выборочный импорт","Selective Import"
"only_photos_with_faces_will_imported","Only photos with faces and landscapes will be imported.","Doar pozele cu fețe și peisaje vor fi importate.","Zaimportowane zostaną tylko zdjęcia z twarzami i krajobrazami.","Будут добавлены только фото с лицами и пейзажами","Only photos with faces and landscapes will be imported."
"recurrent_process","Recurrent process","Proces recurent","Powtarzalny proces","Обратный процесс","Recurrent process"
"each_sunday_evening","Each Sunday evening, the import will automatically start","În fiecare duminică seara, importul va începe în mod automat","Import rozpocznie się automatycznie w każdą niedzielę wieczorem","Автозагрузка начнется каждый воскресный вечер","Each Sunday evening, the import will automatically start"
"enable_auto_import","Enable auto-import","Activează auto-import","Uruchom import automatyczny","Включить автозагрузку","Enable auto-import"
"manually_verify_media","Manually verify photos and videos","Verifică pozele și filmările manual","Sprawdź ręcznie zdjęcia i filmy","Подтвердить вручную фото и видео","Manually verify photos and videos"
"you_can_decide_want_keep_moments","You can decide if you want to keep the selected photos and videos in Moments","Poți decide dacă păstrezi în Moments pozele și filmările selectate","Możesz zdecydować, czy chcesz zachować wybrane zdjęcia i filmy w sekcji ""Chwile""","Можете выбрать сохранить ли выделенные фото и видео в Моментах","You can decide if you want to keep the selected photos and videos in Moments"
"use_mobile_data_no_wifi","Use mobile data when there's no Wi-Fi","Folosește datele mobile atunci când nu ai Wi-Fi","Korzystaj z mobilnej transmisji danych, gdy nie masz dostępu do Wi-Fi","Использовать мобильную связь, когда нет Wi-Fi","Use mobile data when there's no Wi-Fi"
"confirm","Confirm","Confirmă","Potwierdź","Подтвердить ","Confirm"
"select_conversation","Select conversation","Alege conversație","Wybierz rozmowę","Выбрать беседу","Select conversation"
"Select","Select","Alege","Wybierz ","Выбрать","Select"
"auto_import_started","Auto-Import started","Auto-Importul a început","Rozpoczął się import automatyczny ","Началась автозагрузка","Auto-Import started"
"we_scanning_from_gallery","We are scanning photos and videos from your gallery and importing the ones with faces and landscapes","Scanăm pozele și filmările din galeria ta și le importăm pe cele cu fețe și peisaje","Skanujemy zdjęcia i filmy z Twojej galerii, aby zaimportować te z twarzami i krajobrazami ","Мы сканируем фото и видео из вашей галереи и импортируем те, в которых есть лица и пейзажи.","We are scanning photos and videos from your gallery and importing the ones with faces and landscapes"
"import_items_left__zero","No media files left","Niciun fișier rămas","Zostało 0 plików multimedialnych","Не осталось медиафайлов","No media files left"
"import_items_left__one","%s media file left","%s fișier rămas","Jeszcze %s plik multimedialny","остался %s медиафайл ","%s media file left"
"import_items_left__two","%s media files left","%s fișiere rămase","Jeszcze %s pliki multimedialne","осталось %s медиафайла","%s media files left"
"import_items_left__few","%s media files left","%s fișiere rămase","Jeszcze %s pliki multimedialne","осталось %s медиафайлов","%s media files left"
"import_items_left__many","%s media files left","%s fișiere rămase","Jeszcze %s plików multimedialnych","осталось %s медиафайлов","%s media files left"
"import_items_left__other","%s media files left","%s de fișiere rămase","Jeszcze %s pliki multimedialne","остались %s медиафайлы","%s media files left"
"save_all_to_moments","Save all to Moments","Salveză-le pe toate în Momente","Zapisz wszystko w sekcji ""Chwile""","Сохранить все в Моменты","Save all to Moments"
"were_selected_items__zero","No media files were selected from your gallery","Niciun fișier media nu a fost selectat din galerie","Żadne pliki multimedialne nie zostały wybrane z Twojej galerii","Из твоей галереи не были выбраны медиафайлы","No media files were selected from your gallery"
"were_selected_items__one","%s media file was selected from your gallery","%s fișier media a fost selectat din galerie","%s plik multimedialny został wybrany z Twojej galerii","%s медиафайлов были выбраны из твоей галереи","%s media file was selected from your gallery"
"were_selected_items__two","%s media files were selected from your gallery","%s fișiere media au fost selectate din galerie","%s pliki multimedialne zostały wybrane z Twojej galerii","%s медиафайла были выбраны из твоей галереи","%s media files were selected from your gallery"
"were_selected_items__few","%s media files were selected from your gallery","%s fișiere media au fost selectate din galerie","%s pliki multimedialne zostały wybrane z Twojej galerii","%s медиафайлов были выбраны из твоей галереи","%s media files were selected from your gallery"
"were_selected_items__many","%s media files were selected from your gallery","%s fișiere media au fost selectate din galerie","%s plików multimedialnych zostało wybranych z Twojej galerii","%s медиафайлов были выбраны из твоей галереи","%s media files were selected from your gallery"
"were_selected_items__other","%s media files were selected from your gallery","%s de fișiere media au fost selectate din galerie","%s pliki multimedialne zostały wybrane z Twojej galerii","%s медиафайлы были выбраны из твоей галереи","%s media files were selected from your gallery"
"auto_import_completed","Auto-Import completed","Auto-Import finalizat","Zakończono import automatyczny","Автозагрузка закончилась","Auto-Import completed"
"saved_in_moments","Saved in Moments","Salvat în Momente","Zapisano w sekcji ""Chwile""","Сохранено в Мометнах","Saved in Moments"
"were_imported_items__zero","No media files were imported in Moments","Niciun fișier media nu a fost importat în Momente","Żadne pliki multimedialne nie zostały przesłane do Chwil","Ничего не загрузилось в Моменты","No media files were imported in Moments"
"were_imported_items__one","%s media files were imported in Moments","%s fișier media a fost importat în Momente","%s plik multimedialny zostały przesłany do Chwil","%s медиафайлов было загружено в Моменты","%s media files were imported in Moments"
"were_imported_items__two","%s media files were imported in Moments","%s fișiere media au fost importate în Momente","%s pliki multimedialne zostały przesłane do Chwil","%s медиафайла были загружены в Моменты","%s media files were imported in Moments"
"were_imported_items__few","%s media files were imported in Moments","%s fișiere media au fost importate în Momente","%s pliki multimedialne zostały przesłane do Chwil","%s медиафайлов были загружены в Моменты","%s media files were imported in Moments"
"were_imported_items__many","%s media files were imported in Moments","%s fișiere media au fost importate în Momente","%s plików multimedialnych zostało przesłanych do Chwil","%s медиафайлов были загружены в Моменты","%s media files were imported in Moments"
"were_imported_items__other","%s media files were imported in Moments","%s de fișiere media au fost importate în Momente","%s pliki multimedialne zostały przesłane do Chwil","%s медиафайлы были загружены в Моменты","%s media files were imported in Moments"
"auto_import_settings_saved","Settings saved","Setările au fost salvate","Ustawienia zostały zapisane","Настройки были сохранены","Settings saved"
"have_extra_invites__zero","You have %s extra invites you can share with the people you love. Invite them to Parents!","Ai %s invitații extra pe care le poți împărtăși cu oamenii dragi. Invită-i în Parents!","Masz %s dodatkowych zaproszeń, którymi możesz podzielić się z tymi, których kochasz. Zaproś ich do Parents!","У вас %s  дополнительных приглашений, которыми вы можете поделиться с любимыми людьми. Пригласите их в Parents!","You have %s extra invites you can share with the people you love. Invite them to Parents!"
"have_extra_invites__one","You have %s extra invite you can share with the people you love. Invite them to Parents!","Ai %s invitații extra pe care le poți împărtăși cu oamenii dragi. Invită-i în Parents!","Masz %s dodatkowe zaproszenie, którym możesz podzielić się z osobą, którą kochasz. Zaproś ją do Parents!","У вас %s  дополнительное приглашение, которым вы можете поделиться с любимыми людьми. Пригласите их в Parents!","You have %s extra invite you can share with the people you love. Invite them to Parents!"
"have_extra_invites__two","You have %s extra invites you can share with the people you love. Invite them to Parents!","Ai %s invitații extra pe care le poți împărtăși cu oamenii dragi. Invită-i în Parents!","Masz %s dodatkowe zaproszenia, którymi możesz podzielić się z tymi, których kochasz. Zaproś ich do Parents!","У вас %s  дополнительных приглашения, которыми вы можете поделиться с любимыми людьми. Пригласите их в Parents!","You have %s extra invites you can share with the people you love. Invite them to Parents!"
"have_extra_invites__few","You have %s extra invites you can share with the people you love. Invite them to Parents!","Ai %s invitații extra pe care le poți împărtăși cu oamenii dragi. Invită-i în Parents!","Masz %s dodatkowe zaproszenia, którymi możesz podzielić się z tymi, których kochasz. Zaproś ich do Parents!","У вас %s  дополнительных приглашений, которыми вы можете поделиться с любимыми людьми. Пригласите их в Parents!","You have %s extra invites you can share with the people you love. Invite them to Parents!"
"have_extra_invites__many","You have %s extra invites you can share with the people you love. Invite them to Parents!","Ai %s invitații extra pe care le poți împărtăși cu oamenii dragi. Invită-i în Parents!","Masz %s dodatkowych zaproszeń, którymi możesz podzielić się z tymi, których kochasz. Zaproś ich do Parents!","У вас %s  дополнительных приглашений, которыми вы можете поделиться с любимыми людьми. Пригласите их в Parents!","You have %s extra invites you can share with the people you love. Invite them to Parents!"
"have_extra_invites__other","You have %s extra invites you can share with the people you love. Invite them to Parents!","Ai %s de invitații extra pe care le poți împărtăși cu oamenii dragi. Invită-i în Parents!","Masz %s dodatkowe zaproszenia, którymi możesz podzielić się z tymi, których kochasz. Zaproś ich do Parents!","У вас %s  дополнительных приглашений, которыми вы можете поделиться с любимыми людьми. Пригласите их в Parents!","You have %s extra invites you can share with the people you love. Invite them to Parents!"
"album_cover_changed","Album cover changed","Coperta albumului s-a schimbat","Okładka albumu zmieniona","Обложка альбома изменена","Album cover changed"
"dynamic_link_meta_description","Share meaningful moments with your family, meet like-minded parents and learn how to be the best mommy and daddy you can be.","Împărtășește momentele cele mai importante cu familia, întâlnește părinți cu interese și valori similare și învață cum să devii cel mai bun părinte pentru copilul tău.","Dziel się z innymi najważniejszymi chwilami, poznawaj rodziców o podobnych wartościach do Twoich i ucz się, jak stać się najlepszym rodzicem dla swojego dziecka.","Делись важными моментами со своей семьей, встречайся с родителями-единомышленниками и узнай, как стать лучшим родителем, которым ты можешь быть.","Share meaningful moments with your family, meet like-minded parents and learn how to be the best mommy and daddy you can be."
"places","Places","Locuri","Miejsca","Места","Places"
"view_on_map","View on Map","Vezi pe hartă","Zobacz na mapie","Посмотреть на карте","View on Map"
"see_all","See all","Vezi toate","Zobacz wszystko","ПОсмотреть все","See all"
"count_search_moments__zero","No Moments","Nu sunt Momente","Nie masz chwil","Нет никаких Моментов","No Moments"
"count_search_moments__one","1 Moment","1 Moment","Masz 1 chwilę","1 Момент","1 Moment"
"count_search_moments__two","2 Moments","2 Momente","Masz 2 chwile","2 Момента","2 Moments"
"count_search_moments__few","%s Moments","%s Momente","Masz %s chwile","%s Моментов","%s Moments"
"count_search_moments__many","%s Moments","%s Momente","Masz %s chwil","%s Моментов","%s Moments"
"count_search_moments__other","%s Moments","%s de Momente","Masz %s chwile","%s Моменты","%s Moments"
"life_partner_added_children","Your life partner added your children","Partenerul tău de viață a adăugat copiii voștri","Twój partner/Twoja partnerka dodał(a) dzieci","Ваш спутник по жизни добавил детей","Your partner added your children"
"they_will_added_automatically","They will be automatically added to your profile","Aceștia vor fi adăugați în mod automat la profilul tău","Zostaną automatycznie dodane do Twojego profilu","Они будут добавлены автоматически в твоем профиле","They will be automatically added to your profile"
"add_location","Add location","Adaugă locație","Dodaj lokalizację","Добавить местоположение","Add location"
"suggested_locations","Suggested places","Locuri sugerate","Sugerowane lokalizacje","Предлагаемые местоположения","Suggested places"
"location","Location:","Locație:","Lokalizację:","Mестоположение:","Location:"
"sort_comments","Sort Comments","Sortează Comentariile","Sortuj komentarze","Сортировать комментарии","Sort Comments"
"newest","Newest","Cele mai noi","Najnowsze","Только новые","Newest"
"newest_info","Show all comments, with the newest comments first.","Afișează toate comentariile, cu cele mai noi în partea de sus.","Pokazuj wszystkie komentarze od najnowszych","Показать все, но новые в первую очередь","Show all comments, with the newest comments first."
"oldest","Oldest","Cele mai vechi","Najstarsze","Только старые","Oldest"
"oldest_info","Show all comments, with the oldest comments first.","Afișează toate comentariile, cu cele mai vechi în partea de sus.","Pokazuj wszystkie komentarze od najstarszych","Показать все, но старые в первую очередь","Show all comments, with the oldest comments first."
"watch_on_parenting","Watch the Next Episode in Parenting","Urmărește următorul episod în Parenting","Obejrzyj kolejny odcinek w Parenting","Следующий видеоурок","Watch the Next Episode in Parenting"
"accepted_invites","Accepted Invites","Invitații acceptate","Zaakceptowane zaproszenia","Принятые приглашения","Accepted Invites"
"invites_list","Invites List","Lista invitațiilor","Lista zaproszeń","Список приглашений","Invites List"
"see_invites_list","See invites list","Vezil lista invitațiilor","Zobacz listę zaproszeń","Показать приглашения","See invites list"
"reminder_add_profile_photo_1","""A friend in need is a friend indeed""
Put a photo of yourself on your profile so that your friends on Parents recognise you more easily.","„Prietenul la nevoie se cunoaște.”
Pune o poză cu tine la profil, pentru ca prietenii tăi din Parents să te recunoască mai ușor.","„Przyjacioł poznajemy w biedzie”.
Dodaj zdjęcie profilowe, aby przyjaciele z Parents łatwiej Cię rozpoznali.","Настоящие друзья всегда рядом. Добавь в профиль свое фото, чтобы друзьям было проще найти тебя в Parents.","""A friend in need is a friend indeed""
Put a photo of yourself on your profile so that your friends on Parents recognise you more easily."
"reminder_add_profile_photo_2","Did you know that you can chat to your friends on Parents?
Put a photo of yourself on your profile so they know who's messaging them in Chats.","Știai că în Parents poți vorbi cu prietenii tăi?
Pune o poză cu tine la profil, ca să știe de la cine primesc mesaje în Conversații.","Czy wiesz, że w Parents możesz rozmawiać z przyjaciółmi?
Dodaj zdjęcie profilowe, aby wiedzieli, od kogo otrzymują wiadomości w Czacie.","Хочешь общаться в Parents с друзьями? Это возможно. Добавь в профиль свое фото, чтобы они узнали тебя, когда ты им напишешь.","Did you know that you can chat to your friends on Parents?
Put a photo of yourself on your profile so they know who's messaging them in Chats."
"reminder_add_profile_photo_3","Seen the latest posts on Parents?
Put a photo of yourself on your profile so we know who's speaking when you leave a comment in Community.","Tu ai văzut ultimele postări din Parents?
Pune-ți o poză cu tine la profil, ca să știm cu cine vorbim, atunci când lasi comentarii în Comunitate.","Widziałaś(-łeś) nowe komentarze w Parents?
Dodaj zdjęcie profilowe, aby było widać, kto zabiera głos, gdy zostawiasz komentarze w Społeczności.","Читаешь, что пишут в Parents другие родители? Хочешь тоже высказать свое мнение? Добавь в профиль свое фото, чтобы мы видели, кто оставил комментарий.","Seen the latest posts on Parents?
Put a photo of yourself on your profile so we know who's speaking when you leave a comment in Community."
"reminder_add_photo","Got a good photo to add to Moments?        
store childhood mementoes on the Parents Moments ","Ai o poză bună de adăugat în jurnal?
păstrează amintirile cu copiii tăi în Momente, în Parents","Masz zdjęcie warte dodania do Chwil?
 Zachowaj wspomnienia związane z dziećmi w Chwilach w Parents.","У тебя есть подборка удачных фото ребенка и ты не хочешь их потерять?
Сохрани их в Моментах.","Got a good photo to add to Moments?        
store childhood mementoes on the Parents Moments "
"reminder_add_post","Missing those key moments?
Did you know that one of the biggest regrets parents have is that they didn't take enough photos of their kids when they were younger? Post a picture your little one","Postează în Comunitate ce a mai făcut copilul tău
A învățat un cuvânt nou ori a „spălat” oglinda cu cremă, ne-ar plăcea să împărtășești asta cu noi.","Opublikuj w Społeczności, co robiło Twoje dziecko
Nauczyło się nowego słowa lub „umyło"" lustro kremem? Chcemy, abyś się tym z nami podzielił(a).","А знаешь ли ты, что больше всего родители жалеют о том, что редко фотографировали своих детей, когда те были маленькими? Не повторяй их ошибку — опубликуй фото своего малыша.","Missing those key moments?
Did you know that one of the biggest regrets parents have is that they didn't take enough photos of their kids when they were younger? Post a picture your little one"
"playback_speed","Playback speed","Viteză de redare","Prędkość odtwarzania","Скорость воспроизведения","Playback speed"
"normal","Normal","Normal","Normalna","Средняя","Normal"
"no_community_post_3d","Why not make us all laugh on Parents?
‘What do you do when you need to cross the road?’ 
‘I look up, look down, then cross safely’. - Alexa, 3        ","Postează și tu ceva amuzant în Parents
Ce faci cand trebuie să treci strada? 
- Mă uit în sus, mă uit în jos, și apoi trec. - Alexia, 3 ani","Podziel się w Parents czymś zabawnym
– Co robisz przed przejściem przez jezdnię?
– Patrzę w górę, patrzę w dół i przechodzę. – Ola, 3 lata","Публикуй и ты что-нибудь смешное и в Parents
«Что надо делать, когда переходишь дорогу?» «Смотрю вверх, смотрю вниз, и перехожу.» - Лейла, 3 года","Why not make us all laugh on Parents?
‘What do you do when you need to cross the road?’ 
‘I look up, look down, then cross safely’. - Alexa, 3        "
"seconds_ago","%s seconds","%s secunde","","%s секунды",""
"second_ago","%s second","%s secunda","","%s секунда",""
